	body.size.female	biomass.female	body.size.male	biomass.male	forest.affinity	hunting.mode	family	shading	moisture	dispersal	RL D	Bestand
Aculepeira ceropegia	14	219,6447355	8	48,57332851	o	Orb web	Araneidae	0,3	0,63	1	*	sh
Agroeca brunnea	7,7	43,81672835	6,05	22,86828746	w	Ground hunters	Liocranidae	0,55	0,38	0	*	sh
Agroeca proxima	6,35	26,05596145	4,4	9,689849091	mm	Ground hunters	Liocranidae	0,38	0,53	0	*	sh
Agyneta decora	2,15	1,405091156	1,9	1,006815099	mo	Sheet web	Linyphiidae	0,2	0,21	1	*	mh
Agyneta rurestris	2,4	1,890244894	1,95	1,079860389	mo	Sheet web	Linyphiidae	0,25	0,38	1	*	sh
Agyneta saxatilis	2,15	1,405091156	2,15	1,405091156	mo	Sheet web	Linyphiidae	0,43	0,33	1	*	sh
Agyneta subtilis	2,75	2,728550365	2,75	2,728550365	mo	Sheet web	Linyphiidae	0,48	0,39	1	V	mh
Alopecosa cuneata	7,75	44,58814556	6,75	30,72148415	o	Ground hunters	Lycosidae	0,25	0,59	1	*	sh
Alopecosa pulverulenta	9,25	71,84711451	7	33,88672036	mo	Ground hunters	Lycosidae	0,29	0,42	1	*	sh
Antistea elegans	3,4	4,83496359	2,45	1,998314005	mm	Sheet web	Hahniidae	0,27	0,23	0	*	sh
Anyphaena accentuata	7	33,88672036	5,5	17,68573993	w	Other hunters	Anyphaenidae	0,62	0,35	1	*	sh
Apostenus fuscus	3,45	5,029082234	3	3,450041303	wl	Ground hunters	Liocranidae	0,61	0,56	0	*	h
Araeoncus humilis	1,7	0,745936654	1,5	0,532271282	mo	Other hunters	Linyphiidae	0,14	0,31	1	*	sh
Araneus diadematus	16,25	328,2803462	7,5	40,81518553	mm	Orb web	Araneidae	0,38	0,51	1	*	sh
Araneus quadratus	15,5	289,0085359	9	66,73051909	mo	Orb web	Araneidae	0,28	0,34	1	*	sh
Arctosa leopardus	9,25	71,84711451	6	22,36225287	o	Ground hunters	Lycosidae	0,14	0,28	1	*	h
Argenna subnigra	2,5	2,110190027	2	1,156153093	o	Ground hunters	Dictynidae	0,15	0,51	1	*	h
Asagena phalerata	5,1	14,42786789	4,75	11,91097192	o	Space web	Theridiidae	0,18	0,81	0	*	sh
Asthenargus paganus	1,95	1,079860389	1,75	0,806579202	w	Other hunters	Linyphiidae	0,62	0,45	0	*	h
Attulus zimmermanni	4,5	10,29516339	4,5	10,29516339	o	Other hunters	Salticidae	NA	NA	0	2	s
Aulonia albimana	4,25	8,824689404	3,8	6,525908494	mo	Ground hunters	Lycosidae	0,28	0,52	1	*	sh
Bathyphantes gracilis	2,2	1,494946854	1,75	0,806579202	mo	Sheet web	Linyphiidae	0,31	0,28	1	*	sh
Bathyphantes parvulus	2,15	1,405091156	2,15	1,405091156	mm	Sheet web	Linyphiidae	0,38	0,35	1	*	sh
Centromerita bicolor	3,5	5,228032504	3	3,450041303	mo	Sheet web	Linyphiidae	0,26	0,33	1	*	sh
Centromerita concinna	2,5	2,110190027	2,25	1,588334553	mm	Sheet web	Linyphiidae	0,36	0,5	1	*	h
Centromerus prudens	2,5	2,110190027	2,35	1,785928419	mm	Sheet web	Linyphiidae	0,53	0,37	1	*	mh
Centromerus sylvaticus	3,75	6,296953921	3,1	3,768963483	w	Sheet web	Linyphiidae	0,45	0,36	1	*	sh
Ceratinella brevipes	1,65	0,688245599	1,25	0,32555945	mo	Other hunters	Linyphiidae	0,26	0,21	0	*	h
Ceratinella brevis	1,9	1,006815099	1,7	0,745936654	w	Other hunters	Linyphiidae	0,49	0,35	0	*	sh
Cicurina cicur	6	22,36225287	6	22,36225287	mm	Sheet web	Hahniidae	0,48	0,4	0	*	sh
Clubiona diversa	4,5	10,29516339	3,5	5,228032504	mo	Other hunters	Clubionidae	0,37	0,57	0	*	h
Clubiona lutescens	7,5	40,81518553	5	13,67769219	mm	Other hunters	Clubionidae	0,43	0,26	0	*	sh
Clubiona reclusa	6,5	27,74900417	5	13,67769219	mo	Other hunters	Clubionidae	0,28	0,27	0	*	sh
Cnephalocotes obscurus	1,75	0,806579202	1,7	0,745936654	mo	Other hunters	Linyphiidae	0,28	0,46	1	*	sh
Coelotes terrestris	11,5	129,2315426	9	66,73051909	w	Sheet web	Agelenidae	0,61	0,4	0	*	sh
Collinsia inerrans	2,25	1,588334553	2,25	1,588334553	o	Other hunters	Linyphiidae	0,22	0,3	1	*	mh
Dicymbium brevisetosum	2,35	1,785928419	2,15	1,405091156	mo	Other hunters	Linyphiidae	0,3	0,31	1	*	s
Dicymbium nigrum	2,35	1,785928419	2,15	1,405091156	mo	Other hunters	Linyphiidae	0,3	0,31	1	*	sh
Dicymbium tibiale	2,35	1,785928419	2,25	1,588334553	w	Other hunters	Linyphiidae	0,61	0,32	0	*	h
Diplocephalus latifrons	1,75	0,806579202	1,7	0,745936654	w	Other hunters	Linyphiidae	0,53	0,32	0	*	sh
Diplocephalus permixtus	1,75	0,806579202	1,75	0,806579202	mm	Other hunters	Linyphiidae	0,43	0,2	0	*	h
Diplostyla concolor	2,75	2,728550365	2,75	2,728550365	mm	Sheet web	Linyphiidae	0,41	0,32	1	*	sh
Dismodicus bifrons	2,3	1,685309963	1,905	1,01397515	mo	Other hunters	Linyphiidae	0,28	0,35	1	*	sh
Drassodes cupreus	12	144,9461932	13,5	199,1285138	mo	Ground hunters	Gnaphosidae	0,29	0,62	0	*	h
Drassodes lapidosus	11,5	129,2315426	9,65	80,53484789	mo	Ground hunters	Gnaphosidae	0,27	0,6	0	*	sh
Drassyllus lutetianus	6,25	24,9642801	5,1	14,42786789	mo	Ground hunters	Gnaphosidae	0,2	0,29	0	*	sh
Drassyllus pusillus	4,75	11,91097192	4,05	7,749142747	mo	Ground hunters	Gnaphosidae	0,21	0,5	0	*	sh
Drepanotylus uncatus	2,85	3,004406336	2,75	2,728550365	o	Other hunters	Linyphiidae	0,32	0,21	1	3	mh
Enoplognatha latimana	5	13,67769219	4	7,493877767	mo	Space web	Theridiidae	0,25	0,36	1	*	h
Enoplognatha thoracica	4,45	9,989621928	3,55	5,431863055	mo	Space web	Theridiidae	0,26	0,65	1	*	sh
Eratigena agrestis	12,5	161,8118438	9,5	77,2037615	o	Sheet web	Agelenidae	0,17	0,37	0	*	h
Eratigena picta	7,5	40,81518553	6,75	30,72148415	w	Sheet web	Agelenidae	0,45	0,3	0	*	mh
Erigone atra	2,3	1,685309963	2,2	1,494946854	mo	Other hunters	Linyphiidae	0,29	0,29	1	*	sh
Erigone dentipalpis	2,3	1,685309963	2,35	1,785928419	mo	Other hunters	Linyphiidae	0,23	0,31	1	*	sh
Erigonella hiemalis	1,75	0,806579202	1,525	0,556530829	mm	Other hunters	Linyphiidae	0,39	0,37	1	*	sh
Ero cambridgei	2,85	3,004406336	2,35	1,785928419	o	Specialists	Mimetidae	0,27	0,52	1	*	mh
Ero furcata	5,15	14,81244879	2,75	2,728550365	w	Specialists	Mimetidae	0,46	0,4	1	*	sh
Euophrys frontalis	3,79	6,47970566	3,135	3,88480369	mm	Other hunters	Salticidae	0,36	0,48	0	*	sh
Evansia merens	2,75	2,728550365	2,15	1,405091156	m	Other hunters	Linyphiidae	NA	NA	0	D	s
Gonatium rubens	3,05	3,607285254	2,7	2,596837129	mo	Other hunters	Linyphiidae	0,41	0,5	1	*	sh
Gongylidiellum latebricola	1,5	0,532271282	1,5	0,532271282	mm	Other hunters	Linyphiidae	0,45	0,38	0	*	sh
Gongylidiellum vivum	1,75	0,806579202	1,45	0,485773187	mo	Other hunters	Linyphiidae	0,37	0,31	1	*	h
Hahnia nava	1,75	0,806579202	1,75	0,806579202	o	Sheet web	Hahniidae	0,23	0,56	0	*	sh
Hahnia pusilla	1,4	0,441917091	1,4	0,441917091	w	Sheet web	Hahniidae	0,44	0,45	0	*	sh
Haplodrassus signifer	8,45	56,2965756	6,05	22,86828746	mo	Ground hunters	Gnaphosidae	0,4	0,6	0	*	sh
Haplodrassus silvestris	8,4	55,40287053	7,1	35,20789594	w	Ground hunters	Gnaphosidae	0,64	0,41	0	*	sh
Harpactea hombergi	4,5	10,29516339	5	13,67769219	w	Specialists	Dysderidae	0,58	0,55	0	*	sh
Heliophanus flavipes	4,5	10,29516339	4,5	10,29516339	mo	Other hunters	Salticidae	0,17	0,53	0	*	sh
Histopona torpida	6,6	28,91518415	5,5	17,68573993	w	Sheet web	Agelenidae	0,64	0,39	0	*	sh
Mangora acalypha	5,75	19,93780154	3,25	4,281107591	mo	Orb web	Araneidae	0,3	0,62	1	*	sh
Mermessus trilobatus	1,85	0,936959007	1,85	0,936959007	mo	Other hunters	Linyphiidae	NA	NA	1	*	nb
Metopobactrus prominulus	1,8	0,87023343	1,6	0,633445309	mo	Other hunters	Linyphiidae	0,31	0,68	0	*	h
Micaria micans	4,1	8,009810126	3,5	5,228032504	o	Ground hunters	Gnaphosidae	0,22	0,36	1	#NV	#NV
Micrargus herbigradus	2,15	1,405091156	2	1,156153093	w	Other hunters	Linyphiidae	0,48	0,35	1	*	sh
Micrargus subaequalis	1,85	0,936959007	1,8	0,87023343	mo	Other hunters	Linyphiidae	0,2	0,38	1	*	sh
Microlinyphia pusilla	4,25	8,824689404	3,5	5,228032504	o	Sheet web	Linyphiidae	0,27	0,39	1	*	sh
Microneta viaria	2,25	1,588334553	2,25	1,588334553	w	Sheet web	Linyphiidae	0,58	0,36	1	*	sh
Monocephalus fuscipes	2,3	1,685309963	1,85	0,936959007	w	Other hunters	Linyphiidae	0,49	0,3	1	*	mh
Neottiura bimaculata	2,6	2,345578227	2,4	1,890244894	mo	Space web	Theridiidae	0,26	0,37	1	*	sh
Oedothorax apicatus	3	3,450041303	2,1	1,31871136	mo	Other hunters	Linyphiidae	0,19	0,28	1	*	sh
Oedothorax fuscus	2,55	2,225926897	2,15	1,405091156	mo	Other hunters	Linyphiidae	0,2	0,22	1	*	sh
Oedothorax gibbosus	2,75	2,728550365	2,1	1,31871136	m	Other hunters	Linyphiidae	0,32	0,23	1	*	sh
Oedothorax retusus	2,85	3,004406336	2,1	1,31871136	o	Other hunters	Linyphiidae	0,25	0,18	1	*	sh
Ostearius melanopygius	2,15	1,405091156	2,4	1,890244894	o	Other hunters	Linyphiidae	0,17	0,31	1	*	h
Ozyptila atomaria	5	13,67769219	3,5	5,228032504	mo	Ambush hunters	Thomisidae	0,3	0,63	0	*	sh
Ozyptila praticola	4,15	8,275926264	2,75	2,728550365	w	Ambush hunters	Thomisidae	0,44	0,34	0	*	sh
Ozyptila simplex	4,55	10,60651854	2,5	2,110190027	o	Ambush hunters	Thomisidae	0,16	0,39	1	*	h
Ozyptila trux	4,7	11,57591443	3,5	5,228032504	mm	Ambush hunters	Thomisidae	0,46	0,33	0	*	sh
Pachygnatha clercki	5,75	19,93780154	4,75	11,91097192	o	Orb web	Tetragnathidae	0,27	0,26	1	*	sh
Pachygnatha degeeri	3,85	6,760030998	3,25	4,281107591	o	Orb web	Tetragnathidae	0,27	0,38	1	*	sh
Palliduphantes insignis	2,05	1,235750974	2,05	1,235750974	o	Sheet web	Linyphiidae	0,17	0,31	1	*	mh
Palliduphantes pallidus	1,95	1,079860389	1,95	1,079860389	w	Sheet web	Linyphiidae	0,54	0,37	1	*	sh
Panamomops sulcifrons	1,35	0,400639211	1,35	0,400639211	o	Other hunters	Linyphiidae	0,26	0,37	0	*	mh
Pardosa agrestis	5	13,67769219	4,75	11,91097192	o	Ground hunters	Lycosidae	0,12	0,3	1	*	sh
Pardosa amentata	6,5	27,74900417	6	22,36225287	mo	Ground hunters	Lycosidae	0,35	0,26	1	*	sh
Pardosa lugubris	6,4	26,61286579	4,8	12,25206616	w	Ground hunters	Lycosidae	0,49	0,42	1	*	sh
Pardosa nigriceps	5,9	21,37145215	4,95	13,31201051	o	Ground hunters	Lycosidae	0,34	0,36	1	*	h
Pardosa palustris	6,5	27,74900417	5,5	17,68573993	o	Ground hunters	Lycosidae	0,2	0,32	1	*	sh
Pardosa prativaga	6,35	26,05596145	5,85	20,88660337	o	Ground hunters	Lycosidae	0,2	0,26	1	*	sh
Pardosa pullata	5	13,67769219	4,5	10,29516339	mo	Ground hunters	Lycosidae	0,26	0,36	1	*	sh
Pardosa tenuipes	5,595	18,52154856	5,01	13,75157788	o	Ground hunters	Lycosidae	NA	NA	1	#NV	#NV
Pelecopsis parallela	1,65	0,688245599	1,25	0,32555945	o	Other hunters	Linyphiidae	0,15	0,31	1	*	sh
Pelecopsis radicicola	1,6	0,633445309	1,35	0,400639211	mm	Other hunters	Linyphiidae	0,59	0,4	1	*	h
Philodromus collinus	5,5	17,68573993	4,25	8,824689404	w	Other hunters	Philodromidae	0,62	0,47	1	*	sh
Phlegra fasciata	6,45	27,17719991	5,85	20,88660337	mo	Other hunters	Salticidae	0,17	0,54	1	*	sh
Phrurolithus festivus	2,8	2,864389402	2,55	2,225926897	mo	Other hunters	Phrurolithidae	0,29	0,43	0	*	sh
Pirata piraticus	6,75	30,72148415	6,1	23,38146646	o	Ground hunters	Lycosidae	0,22	0,21	1	*	sh
Piratula hygrophila	5,35	16,41506687	5	13,67769219	mm	Ground hunters	Lycosidae	0,39	0,28	1	*	sh
Piratula latitans	4,5	10,29516339	3,5	5,228032504	mo	Ground hunters	Lycosidae	0,24	0,3	1	*	sh
Piratula uliginosa	4,5	10,29516339	4,5	10,29516339	mm	Ground hunters	Lycosidae	0,26	0,27	1	*	h
Pisaura mirabilis	13,5	199,1285138	11,5	129,2315426	mo	Sheet web	Pisauridae	0,29	0,44	1	*	sh
Pocadicnemis pumila	2,05	1,235750974	1,9	1,006815099	mo	Other hunters	Linyphiidae	0,36	0,39	0	*	sh
Porrhomma errans	2,75	2,728550365	2,4	1,890244894	o	Sheet web	Linyphiidae	0,56	0,46	0	*	s
Porrhomma microphthalmum	1,85	0,936959007	1,85	0,936959007	mo	Sheet web	Linyphiidae	0,24	0,29	1	*	sh
Porrhomma pallidum	1,75	0,806579202	1,75	0,806579202	w	Sheet web	Linyphiidae	0,61	0,31	0	*	h
Robertus lividus	3,5	5,228032504	3,25	4,281107591	w	Space web	Theridiidae	0,51	0,33	0	*	sh
Robertus neglectus	2,25	1,588334553	2	1,156153093	mo	Space web	Theridiidae	0,37	0,32	1	*	h
Silometopus elegans	1,75	0,806579202	1,35	0,400639211	o	Other hunters	Linyphiidae	0,26	0,27	1	V	mh
Stemonyphantes lineatus	6,75	30,72148415	4	7,493877767	mo	Sheet web	Linyphiidae	0,31	0,47	0	*	sh
Styloctetor compar	2,3	1,685309963	1,95	1,079860389	o	Other hunters	Linyphiidae	0,12	0,8	0	V	mh
Talavera aequipes	2,45	1,998314005	2,42	1,933019175	mo	Other hunters	Salticidae	0,28	0,59	0	*	sh
Tallusia experta	3,75	6,296953921	2,9	3,148652983	mo	Sheet web	Linyphiidae	0,37	0,23	1	*	sh
Tapinocyba insecta	1,8	0,87023343	1,65	0,688245599	w	Other hunters	Linyphiidae	0,55	0,36	0	*	sh
Tapinocyba praecox	1,35	0,400639211	1,25	0,32555945	mo	Other hunters	Linyphiidae	0,31	0,46	1	*	h
Tenuiphantes mengei	2,05	1,235750974	2	1,156153093	mm	Sheet web	Linyphiidae	0,45	0,36	1	*	sh
Tenuiphantes tenebricola	2,45	1,998314005	2,45	1,998314005	w	Sheet web	Linyphiidae	0,66	0,33	1	*	sh
Tenuiphantes tenuis	3,15	3,935126488	2,6	2,345578227	mo	Sheet web	Linyphiidae	0,31	0,31	1	*	sh
Tenuiphantes zimmermanni	2,65	2,46919731	2,55	2,225926897	w	Sheet web	Linyphiidae	0,6	0,33	1	*	sh
Tiso vagans	2,1	1,31871136	1,95	1,079860389	mo	Other hunters	Linyphiidae	0,24	0,34	1	*	sh
Trachyzelotes pedestris	8	48,57332851	5,25	15,60081289	mo	Ground hunters	Gnaphosidae	0,34	0,6	0	*	h
Trochosa ruricola	11	114,6342764	8,25	52,77547896	o	Ground hunters	Lycosidae	0,22	0,32	1	*	sh
Trochosa spinipalpis	10,5	101,1203322	7	33,88672036	o	Ground hunters	Lycosidae	0,33	0,28	1	*	sh
Trochosa terricola	10,5	101,1203322	8	48,57332851	mm	Ground hunters	Lycosidae	0,45	0,43	1	*	sh
Troxochrus scabriculus	1,85	0,936959007	1,85	0,936959007	o	Other hunters	Linyphiidae	0,22	0,3	1	*	sh
Walckenaeria acuminata	3,75	6,296953921	2,65	2,46919731	w	Other hunters	Linyphiidae	0,5	0,37	1	*	sh
Walckenaeria antica	2,35	1,785928419	1,9	1,006815099	mo	Other hunters	Linyphiidae	0,35	0,44	1	*	sh
Walckenaeria atrotibialis	2,6	2,345578227	2,2	1,494946854	w	Other hunters	Linyphiidae	0,46	0,32	1	*	sh
Walckenaeria dysderoides	2,05	1,235750974	1,85	0,936959007	mm	Other hunters	Linyphiidae	0,58	0,4	1	*	sh
Walckenaeria nudipalpis	3,2	4,105824521	2,675	2,532511328	mo	Other hunters	Linyphiidae	0,34	0,23	1	*	sh
Walckenaeria vigilax	2,475	2,053772773	2,1	1,31871136	mo	Other hunters	Linyphiidae	0,18	0,28	1	*	sh
Xerolycosa nemoralis	6,25	24,9642801	5,1	14,42786789	wl	Ground hunters	Lycosidae	0,44	0,55	0	*	sh
Xysticus bifasciatus	7,9	46,9534839	6,15	23,90183094	o	Ambush hunters	Thomisidae	0,27	0,61	0	*	sh
Xysticus cristatus	6,35	26,05596145	4,8	12,25206616	mo	Ambush hunters	Thomisidae	0,24	0,42	1	*	sh
Xysticus kochi	8,4	55,40287053	4,7	11,57591443	o	Ambush hunters	Thomisidae	0,2	0,42	1	*	sh
Zelotes latreillei	7,4	39,36435231	6	22,36225287	mo	Ground hunters	Gnaphosidae	0,26	0,5	1	*	sh
Zelotes petrensis	6	22,36225287	5,5	17,68573993	mo	Ground hunters	Gnaphosidae	0,34	0,72	0	*	sh
Zelotes subterraneus	7,5	40,81518553	5,8	20,4087337	w	Ground hunters	Gnaphosidae	0,53	0,45	0	*	sh
Zodarion italicum	3,2	4,105824521	2,25	1,588334553	o	Specialists	Zodariidae	NA	NA	0	*	mh
Zora spinimana	6,35	26,05596145	4,75	11,91097192	mm	Other hunters	Miturgidae	0,43	0,39	1	*	sh